./test.sh checkpoints/ag/joint/epoch=29-val_acc=0.20.ckpt
Running script: aa.py
Arguments: --val     --model-type joint     --rules-name debug_rules     --checkpoint checkpoints/ag/joint/epoch=29-val_acc=0.20.ckpt     --recall-threshold 0.8     --mode soft
ACTION ANTICIPATOR
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
split: val | length: 1597
Without constraints---------------------
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0,1,2,3,4]
Testing DataLoader 0: 100%|███████████████████████████████████████████████████████████████| 19/19 [00:04<00:00,  4.59it/s]
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
        Test metric                 DataLoader 0
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
          accuracy              0.21345995366573334
 accuracy_per_class_class_0      0.6443023085594177
 accuracy_per_class_class_1      0.5106092691421509
accuracy_per_class_class_10             0.0
accuracy_per_class_class_11     0.10627912729978561
accuracy_per_class_class_12     0.24690338969230652
accuracy_per_class_class_13             0.0
accuracy_per_class_class_14     0.08670520037412643
accuracy_per_class_class_15             0.0
accuracy_per_class_class_16     0.19377924501895905
accuracy_per_class_class_17     0.20541314780712128
accuracy_per_class_class_18             0.0
accuracy_per_class_class_19     0.19527819752693176
 accuracy_per_class_class_2     0.30388107895851135
accuracy_per_class_class_20     0.19612808525562286
accuracy_per_class_class_21     0.23369117081165314
accuracy_per_class_class_22     0.18699617683887482
accuracy_per_class_class_23      0.223202645778656
accuracy_per_class_class_24             0.0
accuracy_per_class_class_25      0.6402422189712524
accuracy_per_class_class_26       0.76343834400177
accuracy_per_class_class_27     0.11918525397777557
accuracy_per_class_class_28      0.1000792384147644
accuracy_per_class_class_29      0.0880814790725708
 accuracy_per_class_class_3     0.11450592428445816
 accuracy_per_class_class_4             0.0
 accuracy_per_class_class_5      0.6432815194129944
 accuracy_per_class_class_6     0.05284888669848442
 accuracy_per_class_class_7     0.02642444334924221
 accuracy_per_class_class_8     0.16579371690750122
 accuracy_per_class_class_9     0.15854665637016296
       accuracy_top5             0.4958711862564087
         precision              0.15010656416416168
precision_per_class_class_0      0.334575891494751
precision_per_class_class_1      0.2038121521472931
precision_per_class_class_10            0.0
precision_per_class_class_11    0.21101805567741394
precision_per_class_class_12     0.1291770040988922
precision_per_class_class_13            0.0
precision_per_class_class_14    0.07663875073194504
precision_per_class_class_15            0.0
precision_per_class_class_16    0.16295073926448822
precision_per_class_class_17    0.33328068256378174
precision_per_class_class_18            0.0
precision_per_class_class_19    0.23791663348674774
precision_per_class_class_2     0.21844205260276794
precision_per_class_class_20    0.11563517153263092
precision_per_class_class_21    0.19845858216285706
precision_per_class_class_22    0.11279808729887009
precision_per_class_class_23    0.15729407966136932
precision_per_class_class_24            0.0
precision_per_class_class_25    0.24208249151706696
precision_per_class_class_26     0.3608630895614624
precision_per_class_class_27    0.06254571676254272
precision_per_class_class_28    0.16335108876228333
precision_per_class_class_29    0.03397428244352341
precision_per_class_class_3     0.08455821871757507
precision_per_class_class_4             0.0
precision_per_class_class_5      0.2863772213459015
precision_per_class_class_6     0.03875584900379181
precision_per_class_class_7     0.01761629618704319
precision_per_class_class_8     0.18815727531909943
precision_per_class_class_9     0.041398294270038605
           recall                0.2318945825099945
  recall_per_class_class_0       0.6443023085594177
  recall_per_class_class_1       0.5106092691421509
 recall_per_class_class_10              0.0
 recall_per_class_class_11      0.10627912729978561
 recall_per_class_class_12      0.24690338969230652
 recall_per_class_class_13              0.0
 recall_per_class_class_14      0.08670520037412643
 recall_per_class_class_15              0.0
