id,pre,post
001YG.mp4/000264.png,False,True
001YG.mp4/000382.png,False,True
001YG.mp4/000757.png,True,True
004QE.mp4/000217.png,False,False
004QE.mp4/000308.png,True,True
004QE.mp4/000452.png,True,True
004QE.mp4/000052.png,False,True
004QE.mp4/000093.png,True,True
00607.mp4/000016.png,False,True
00607.mp4/000168.png,True,True
00607.mp4/000187.png,True,True
00607.mp4/000261.png,True,True
00607.mp4/000316.png,False,True
00607.mp4/000341.png,False,True
00607.mp4/000389.png,False,False
00607.mp4/000418.png,True,True
00607.mp4/000077.png,True,True
00HFP.mp4/000241.png,True,True
00HFP.mp4/000323.png,True,True
00MFE.mp4/000196.png,True,True
00MFE.mp4/000029.png,False,True
00MFE.mp4/000444.png,True,True
00MFE.mp4/000459.png,True,True
00N38.mp4/000138.png,False,True
00N38.mp4/000192.png,True,True
00N38.mp4/000031.png,False,True
00N38.mp4/000354.png,True,True
00N38.mp4/000414.png,False,True
00N38.mp4/000058.png,False,True
00NN7.mp4/000020.png,False,True
00NN7.mp4/000204.png,True,False
00NN7.mp4/000331.png,True,True
00NN7.mp4/000439.png,False,True
00NN7.mp4/000444.png,False,True
00NN7.mp4/000636.png,False,True
00NN7.mp4/000097.png,False,True
00T1E.mp4/000010.png,False,True
00T1E.mp4/000187.png,False,True
00T1E.mp4/000190.png,False,True
00T1E.mp4/000207.png,False,True
00T1E.mp4/000257.png,False,True
00T1E.mp4/000028.png,False,True
00T1E.mp4/000065.png,False,True
00T1E.mp4/000096.png,False,True
00T4B.mp4/000303.png,False,True
00X3U.mp4/000013.png,False,True
00X3U.mp4/000257.png,False,True
00X3U.mp4/000371.png,False,True
00X3U.mp4/000415.png,True,True
00YZL.mp4/000236.png,True,True
00YZL.mp4/000626.png,True,True
00YZL.mp4/000727.png,True,False
00YZL.mp4/000079.png,False,True
00ZCA.mp4/001111.png,False,True
00ZCA.mp4/000323.png,False,True
00ZCA.mp4/000681.png,False,True
00ZCA.mp4/000744.png,False,True
013SD.mp4/000010.png,False,True
013SD.mp4/000125.png,False,True
013SD.mp4/000078.png,False,True
015XE.mp4/000113.png,False,True
015XE.mp4/000301.png,False,False
015XE.mp4/000672.png,False,True
01K8X.mp4/000173.png,True,True
01K8X.mp4/000022.png,False,True
01K8X.mp4/000597.png,True,True
01K8X.mp4/000640.png,True,True
01K8X.mp4/000827.png,False,True
01KM1.mp4/000216.png,False,True
01KM1.mp4/000474.png,True,True
01KM1.mp4/000538.png,False,True
01KM1.mp4/000752.png,True,True
01KML.mp4/000569.png,False,True
01KML.mp4/000618.png,False,True
01KML.mp4/000654.png,False,True
01O27.mp4/001192.png,True,True
01O27.mp4/000143.png,True,True
01O27.mp4/000034.png,False,True
01O27.mp4/000919.png,True,True
01THT.mp4/000114.png,True,False
01THT.mp4/000017.png,True,True
01THT.mp4/000178.png,False,True
01THT.mp4/000185.png,False,False
01THT.mp4/000034.png,False,True
01THT.mp4/000051.png,False,True
01THT.mp4/000085.png,False,True
01ZWG.mp4/000103.png,True,True
01ZWG.mp4/000148.png,True,True
01ZWG.mp4/000166.png,True,True
01ZWG.mp4/000218.png,True,True
01ZWG.mp4/000260.png,False,True
01ZWG.mp4/000285.png,False,True
01ZWG.mp4/000069.png,False,True
01ZWG.mp4/000097.png,False,True
024PD.mp4/001583.png,True,True
024PD.mp4/000028.png,False,True
024PD.mp4/000073.png,True,True
028CE.mp4/000249.png,True,True
028CE.mp4/000054.png,False,True
02CYP.mp4/000168.png,False,True
02CYP.mp4/000017.png,False,True
02CYP.mp4/000211.png,True,True
02CYP.mp4/000296.png,False,True
02CYP.mp4/000424.png,True,False
02CYP.mp4/000099.png,True,True
02DPI.mp4/000127.png,False,False
02DPI.mp4/000177.png,False,True
02DPI.mp4/000194.png,False,True
02DPI.mp4/000207.png,True,True
02DPI.mp4/000271.png,True,True
02DPI.mp4/000339.png,True,True
02DPI.mp4/000353.png,False,True
02DPI.mp4/000389.png,True,True
02DPI.mp4/000402.png,False,True
02DPI.mp4/000426.png,True,True
02DPI.mp4/000481.png,False,True
02DPI.mp4/000070.png,False,True
02DPI.mp4/000077.png,False,True
02SK4.mp4/000013.png,False,True
02SK4.mp4/000141.png,True,True
02SK4.mp4/000186.png,False,True
02SK4.mp4/000213.png,True,False
02SK4.mp4/000227.png,True,True
02SK4.mp4/000268.png,True,True
02SK4.mp4/000442.png,False,True
02SKC.mp4/000015.png,False,True
02SKC.mp4/000217.png,False,True
02SKC.mp4/000559.png,False,True
02SKC.mp4/000593.png,True,True
02SKC.mp4/000631.png,True,False
02SKC.mp4/000670.png,True,True
02SKC.mp4/000746.png,False,True
02SKC.mp4/000760.png,False,True
02SKC.mp4/000869.png,True,True
02V54.mp4/000155.png,True,True
02V54.mp4/000222.png,True,True
02XLP.mp4/000354.png,False,True
02XLP.mp4/000399.png,False,True
02XLP.mp4/000451.png,True,True
038WZ.mp4/000113.png,True,True
038WZ.mp4/000135.png,True,True
03AA8.mp4/000134.png,False,True
03AA8.mp4/000189.png,False,True
